"","NameID","year","Maker","Type","Name","Sales","Model","Nippyo","price","kata","capacity","FuelType","FuelEfficiency","HH","size","hppw","share","share0"
"89",99,2014,"Daihatsu","KEI","ウェイク",16948,"D",0,1.35952620967742,"DBA-LA700S",4,"レギュラー",25.4,55952365,9.188991875,0.0525252525252525,0.000302900511890784,0.918813422810635
"90",99,2015,"Daihatsu","KEI","ウェイク",50711,"D",0,1.34865,"DBA-LA700S",4,"レギュラー",25.4,56412140,9.188991875,0.0525252525252525,0.000898937710925343,0.92791704055191
"91",99,2016,"Daihatsu","KEI","ウェイク",32828,"D",0,1.35,"DBA-LA700S",4,"レギュラー",25.4,56950757,9.188991875,0.0525252525252525,0.000576427807623347,0.930048041328055
"92",106,2006,"Daihatsu","KEI","エッセ",56487,"D",0,0.777,"DBA-L235S",4,"レギュラー",21,51102005,7.36120875,0.0816901408450704,0.00110537737217943,0.915227533635911
"93",106,2007,"Daihatsu","KEI","エッセ",37249,"D",0,0.777,"DBA-L235S",4,"レギュラー",21,51713048,7.36120875,0.0816901408450704,0.000720301769874404,0.920174188920367
"94",106,2008,"Daihatsu","KEI","エッセ",33952,"D",0,0.765967545638945,"DBA-L235S",4,"レギュラー",21,52324877,7.36120875,0.0816901408450704,0.000648869179377144,0.923564101259139
"95",106,2009,"Daihatsu","KEI","エッセ",34148,"D",0,0.791388888888889,"DBA-L235S",4,"レギュラー",21,52877802,7.36120875,0.0816901408450704,0.000645790836767383,0.929189662611165
"96",106,2010,"Daihatsu","KEI","エッセ",33756,"D",0,0.807481865284974,"DBA-L235S",4,"レギュラー",19.4,53362801,7.36120875,0.0805555555555556,0.000632575490180885,0.924956956438625
"97",106,2011,"Daihatsu","KEI","エッセ",16202,"D",0,0.809158878504673,"DBA-L235S",4,"レギュラー",19.4,53783435,7.36120875,0.0805555555555556,0.00030124516963262,0.93898110077945
"98",106,2012,"Daihatsu","KEI","エッセ",16,"D",0,0.81,"DBA-L235S",4,"レギュラー",19.4,54171475,7.36120875,0.0805555555555556,2.95358396646944e-07,0.919761848832804
"99",120,2015,"Daihatsu","KEI","キャスト",32324,"660",0,1.21878,"DBA-LA250S",4,"レギュラー",30,56412140,8.16242875,0.0619047619047619,0.000572997230737923,0.92791704055191
"100",120,2016,"Daihatsu","KEI","キャスト",66290,"660",0,1.22,"DBA-LA250S",4,"レギュラー",30,56950757,8.16242875,0.0619047619047619,0.00116398803970244,0.930048041328055
"101",132,2006,"Daihatsu","KEI","コペン",6191,"アクティブトップ",0,1.61669444444444,"ABA-L880K",2,"レギュラー",15.2,51102005,6.234493125,0.0761904761904762,0.00012114984529472,0.915227533635911
"102",132,2007,"Daihatsu","KEI","コペン",5703,"アクティブトップ",0,1.61669444444444,"ABA-L880K",2,"レギュラー",15.2,51713048,6.234493125,0.0761904761904762,0.000110281644972851,0.920174188920367
"103",132,2008,"Daihatsu","KEI","コペン",5997,"アクティブトップ",0,1.59373935091278,"ABA-L880K",2,"レギュラー",15.2,52324877,6.234493125,0.0761904761904762,0.00011461087619948,0.923564101259139
"104",132,2009,"Daihatsu","KEI","コペン",3322,"アクティブトップ",0,1.63930555555556,"ABA-L880K",2,"レギュラー",15.2,52877802,6.234493125,0.0761904761904762,6.2824093936431e-05,0.929189662611165
"105",132,2010,"Daihatsu","KEI","コペン",2490,"アクティブトップ",0,1.75472020725389,"ABA-L880K",2,"レギュラー",15.2,53362801,6.234493125,0.0761904761904762,4.66617185256074e-05,0.924956956438625
"106",132,2011,"Daihatsu","KEI","コペン",2006,"アクティブトップ",0,1.75836448598131,"ABA-L880K",2,"レギュラー",15.2,53783435,6.234493125,0.0761904761904762,3.72977293101491e-05,0.93898110077945
"107",132,2012,"Daihatsu","KEI","コペン",1979,"アクティブトップ",0,1.76019230769231,"ABA-L880K",2,"レギュラー",15.2,54171475,6.234493125,0.0761904761904762,3.65321416852689e-05,0.919761848832804
"108",132,2014,"Daihatsu","KEI","コペン",6754,"660",0,1.8106875,"DBA-LA400K",2,"レギュラー",25.2,55952365,6.40976,0.0735632183908046,0.000120709821649183,0.918813422810635
"109",132,2015,"Daihatsu","KEI","コペン",7274,"660",0,1.796202,"DBA-LA400K",2,"レギュラー",25.2,56412140,6.40976,0.0735632183908046,0.000128943876264932,0.92791704055191
"110",132,2016,"Daihatsu","KEI","コペン",5152,"660",0,1.852,"DBA-LA400K",2,"レギュラー",25.2,56950757,6.40976,0.0735632183908046,9.0464117974762e-05,0.930048041328055
"111",170,2006,"Daihatsu","KEI","ソニカ",15118,"R",0,1.21997222222222,"CBA-L405S",4,"レギュラー",23,51102005,7.36120875,0.0780487804878049,0.000295839664216698,0.915227533635911
"112",170,2007,"Daihatsu","KEI","ソニカ",8512,"R",0,1.24155555555556,"CBA-L405S",4,"レギュラー",23,51713048,7.36120875,0.0780487804878049,0.000164600624585114,0.920174188920367
